Sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
F1M2	Jeotgalibaca porci	1868793	S	3389	1620	5009	0.19502
F1M2	Jeotgalibaca arthritidis	1868794	S	336	674	1010	0.03932
F1M2	Jeotgalibaca sp. PTS2502	1903686	S	115	218	333	0.01296
F1M2	Jeotgalibaca ciconiae	2496265	S	30	9	39	0.00152
F1M2	Jeotgalibaca dankookensis	708126	S	20	2	22	0.00086
F1M2	Carnobacterium maltaromaticum	2751	S	11	3	14	0.00055
F1M2	Lactococcus raffinolactis	1366	S	389	184	573	0.02231
F1M2	Lactococcus lactis	1358	S	17	53	70	0.00273
F1M2	Streptococcus parauberis	1348	S	371	271	642	0.02500
F1M2	Streptococcus equinus	1335	S	25	40	65	0.00253
F1M2	Streptococcus suis	1307	S	13	6	19	0.00074
F1M2	Aerococcus urinaeequi	51665	S	538	549	1087	0.04232
F1M2	Aerococcus viridans	1377	S	54	85	139	0.00541
F1M2	Weissella soli	155866	S	15	3	18	0.00070
F1M2	Weissella paramesenteroides	1249	S	11	5	16	0.00062
F1M2	Amylolactobacillus amylophilus	1603	S	53	38	91	0.00354
F1M2	Ligilactobacillus ruminis	1623	S	47	8	55	0.00214
F1M2	Pediococcus acidilactici	1254	S	28	9	37	0.00144
F1M2	Pediococcus pentosaceus	1255	S	14	5	19	0.00074
F1M2	Leuconostoc carnosum	1252	S	17	18	35	0.00136
F1M2	Limosilactobacillus mucosae	97478	S	19	3	22	0.00086
F1M2	Latilactobacillus curvatus	28038	S	10	6	16	0.00062
F1M2	Loigolactobacillus coryniformis	1610	S	10	9	19	0.00074
F1M2	Enterococcus faecalis	1351	S	66	63	129	0.00502
F1M2	Enterococcus mundtii	53346	S	56	14	70	0.00273
F1M2	Enterococcus faecium	1352	S	42	150	192	0.00748
F1M2	Enterococcus gilvus	160453	S	18	7	25	0.00097
F1M2	Enterococcus hirae	1354	S	11	7	18	0.00070
F1M2	Enterococcus casseliflavus	37734	S	10	22	32	0.00125
F1M2	Tetragenococcus koreensis	290335	S	11	2	13	0.00051
F1M2	Bacillus licheniformis	1402	S	12	441	453	0.01764
F1M2	Bacillus paralicheniformis	1648923	S	10	14	24	0.00093
F1M2	Bacillus pumilus	1408	S	29	59	88	0.00343
F1M2	Bacillus circulans	1397	S	13	4	17	0.00066
F1M2	Bacillus glycinifermentans	1664069	S	11	4	15	0.00058
F1M2	Alkalihalobacillus clausii	79880	S	92	12	104	0.00405
F1M2	Weizmannia coagulans	1398	S	43	12	55	0.00214
F1M2	Caldibacillus thermoamylovorans	35841	S	28	17	45	0.00175
F1M2	Mammaliicoccus sciuri	1296	S	318	232	550	0.02141
F1M2	Staphylococcus arlettae	29378	S	35	113	148	0.00576
F1M2	Staphylococcus succinus	61015	S	12	9	21	0.00082
F1M2	Jeotgalicoccus saudimassiliensis	1461582	S	15	2	17	0.00066
F1M2	Thermoactinomyces vulgaris	2026	S	392	49	441	0.01717
F1M2	Thermobacillus composti	377615	S	13	0	13	0.00051
F1M2	Romboutsia ilealis	1115758	S	277	607	884	0.03442
F1M2	Romboutsia sp. CE17	2724150	S	61	123	184	0.00716
F1M2	Romboutsia hominis	1507512	S	32	54	86	0.00335
F1M2	Paraclostridium bifermentans	1490	S	24	41	65	0.00253
F1M2	Paeniclostridium sordellii	1505	S	18	28	46	0.00179
F1M2	Clostridium perfringens	1502	S	18	59	77	0.00300
F1M2	Clostridium septicum	1504	S	10	96	106	0.00413
F1M2	Butyrivibrio fibrisolvens	831	S	32	63	95	0.00370
F1M2	Blautia producta	33035	S	20	29	49	0.00191
F1M2	Ruminococcus sp. JE7A12	2564099	S	38	26	64	0.00249
F1M2	Turicibacter sp. H121	1712675	S	411	268	679	0.02644
F1M2	Turicibacter sanguinis	154288	S	14	3	17	0.00066
F1M2	Erysipelothrix sp. HDW6A	2714928	S	12	1	13	0.00051
F1M2	Erysipelothrix larvae	1514105	S	12	3	15	0.00058
F1M2	Erysipelothrix rhusiopathiae	1648	S	10	21	31	0.00121
F1M2	Intestinibaculum porci	2487118	S	12	3	15	0.00058
F1M2	Schnuerera ultunensis	45497	S	12	3	15	0.00058
F1M2	Bifidobacterium pseudolongum	1694	S	5252	1000	6252	0.24341
F1M2	Bifidobacterium choerinum	35760	S	468	252	720	0.02803
F1M2	Bifidobacterium adolescentis	1680	S	16	9	25	0.00097
F1M2	Bifidobacterium angulatum	1683	S	11	3	14	0.00055
F1M2	Bifidobacterium animalis	28025	S	10	2	12	0.00047
F1M2	Corynebacterium stationis	1705	S	303	79	382	0.01487
F1M2	Corynebacterium xerosis	1725	S	276	174	450	0.01752
F1M2	Corynebacterium suranareeae	2506452	S	123	33	156	0.00607
F1M2	Corynebacterium casei	160386	S	113	260	373	0.01452
F1M2	Corynebacterium maris	575200	S	55	8	63	0.00245
F1M2	Corynebacterium camporealensis	161896	S	48	10	58	0.00226
F1M2	Corynebacterium sp. LMM-1652	2487892	S	38	7	45	0.00175
F1M2	Corynebacterium marinum	349751	S	35	17	52	0.00202
F1M2	Corynebacterium efficiens	152794	S	32	4	36	0.00140
F1M2	Corynebacterium glutamicum	1718	S	26	327	353	0.01374
F1M2	Corynebacterium humireducens	1223514	S	21	4	25	0.00097
F1M2	Corynebacterium variabile	1727	S	12	9	21	0.00082
F1M2	Corynebacterium testudinoris	136857	S	12	2	14	0.00055
F1M2	Dietzia timorensis	499555	S	27	39	66	0.00257
F1M2	Brevibacterium sp. YB235	1496080	S	44	93	137	0.00533
F1M2	Brevibacterium sp. CS2	2575923	S	17	19	36	0.00140
F1M2	Brevibacterium linens	1703	S	17	29	46	0.00179
F1M2	Brevibacterium aurantiacum	273384	S	14	21	35	0.00136
F1M2	Kocuria rosea	1275	S	41	34	75	0.00292
F1M2	Kocuria palustris	71999	S	12	14	26	0.00101
F1M2	Sanguibacter sp. HDW7	2714931	S	10	7	17	0.00066
F1M2	Flaviflexus sp. H23T48	2496867	S	46	8	54	0.00210
F1M2	Thermobifida fusca	2021	S	58	8	66	0.00257
F1M2	Saccharomonospora viridis	1852	S	37	9	46	0.00179
F1M2	Olsenella umbonata	604330	S	49	32	81	0.00315
F1M2	Denitrobacterium detoxificans	79604	S	29	19	48	0.00187
F1M2	Acinetobacter indicus	756892	S	207	371	578	0.02250
F1M2	Acinetobacter lwoffii	28090	S	11	64	75	0.00292
F1M2	Luteimonas sp. JM171	1896164	S	24	57	81	0.00315
F1M2	Paracoccus kondratievae	135740	S	16	67	83	0.00323
F1M2	Oligella ureolytica	90244	S	24	36	60	0.00234
F1M2	Bacteroides coprosuis	151276	S	34	82	116	0.00452
F1M2	Petrimonas mucosa	1642646	S	37	17	54	0.00210
F1M2	Sphingobacterium daejeonense	371142	S	36	53	89	0.00347
F1M2	Methanobrevibacter millerae	230361	S	227	105	332	0.01293
F1M2	Methanobrevibacter sp. YE315	1609968	S	21	5	26	0.00101
F1M2	Methanobrevibacter ruminantium	83816	S	15	6	21	0.00082
F1M2	Methanothrix soehngenii	2223	S	34	0	34	0.00132
F1M2	Methanosarcina mazei	2209	S	15	2	17	0.00066
F1M2	Homo sapiens	9606	S	11	12	23	0.00090
F1D2	Romboutsia ilealis	1115758	S	139	338	477	0.03476
F1D2	Romboutsia sp. CE17	2724150	S	19	46	65	0.00474
F1D2	Romboutsia hominis	1507512	S	16	30	46	0.00335
F1D2	Clostridioides difficile	1496	S	14	44	58	0.00423
F1D2	Acetivibrio saccincola	1677857	S	69	185	254	0.01851
F1D2	Acetivibrio clariflavus	288965	S	30	83	113	0.00823
F1D2	Acetivibrio thermocellus	1515	S	17	133	150	0.01093
F1D2	Ruminococcus sp. JE7A12	2564099	S	22	6	28	0.00204
F1D2	Ruminiclostridium herbifermentans	2488810	S	20	15	35	0.00255
F1D2	Pseudoclostridium thermosuccinogenes	84032	S	17	12	29	0.00211
F1D2	Thermoclostridium stercorarium	1510	S	13	151	164	0.01195
F1D2	Herbinix luporum	1679721	S	98	285	383	0.02791
F1D2	Butyrivibrio fibrisolvens	831	S	17	16	33	0.00240
F1D2	Clostridium bornimense	1216932	S	15	85	100	0.00729
F1D2	Clostridium kluyveri	1534	S	10	18	28	0.00204
F1D2	Syntrophomonas wolfei	863	S	74	15	89	0.00649
F1D2	Dehalobacterium formicoaceticum	51515	S	13	8	21	0.00153
F1D2	Thermacetogenium phaeum	85874	S	26	61	87	0.00634
F1D2	Thermoanaerobacterium thermosaccharolyticum	1517	S	12	18	30	0.00219
F1D2	Bacillus pumilus	1408	S	42	451	493	0.03593
F1D2	Bacillus glycinifermentans	1664069	S	16	31	47	0.00342
F1D2	Alkalihalobacillus clausii	79880	S	105	40	145	0.01057
F1D2	Weizmannia coagulans	1398	S	21	19	40	0.00291
F1D2	Caldibacillus thermoamylovorans	35841	S	13	18	31	0.00226
F1D2	Thermoactinomyces vulgaris	2026	S	333	138	471	0.03432
F1D2	Mammaliicoccus sciuri	1296	S	10	25	35	0.00255
F1D2	Jeotgalibaca porci	1868793	S	183	276	459	0.03345
F1D2	Jeotgalibaca arthritidis	1868794	S	23	58	81	0.00590
F1D2	Streptococcus suis	1307	S	20	207	227	0.01654
F1D2	Aerococcus urinaeequi	51665	S	16	39	55	0.00401
F1D2	Turicibacter sp. H121	1712675	S	224	557	781	0.05691
F1D2	Tissierellia sp. JN-28	2507161	S	26	24	50	0.00364
F1D2	Schnuerera ultunensis	45497	S	18	5	23	0.00168
F1D2	Gudongella oleilytica	1582259	S	13	9	22	0.00160
F1D2	Corynebacterium stationis	1705	S	81	57	138	0.01006
F1D2	Corynebacterium xerosis	1725	S	31	61	92	0.00670
F1D2	Corynebacterium suranareeae	2506452	S	25	18	43	0.00313
F1D2	Corynebacterium casei	160386	S	18	63	81	0.00590
F1D2	Corynebacterium camporealensis	161896	S	11	6	17	0.00124
F1D2	Bifidobacterium pseudolongum	1694	S	129	44	173	0.01261
F1D2	Kocuria rosea	1275	S	12	14	26	0.00189
F1D2	Saccharomonospora viridis	1852	S	52	8	60	0.00437
F1D2	Thermobifida fusca	2021	S	55	14	69	0.00503
F1D2	Olsenella umbonata	604330	S	14	36	50	0.00364
F1D2	Brevefilum fermentans	1986204	S	137	1	138	0.01006
F1D2	Dehalococcoides mccartyi	61435	S	19	0	19	0.00138
F1D2	Petrimonas mucosa	1642646	S	3723	322	4045	0.29476
F1D2	Proteiniphilum saccharofermentans	1642647	S	99	27	126	0.00918
F1D2	Bacteroides coprosuis	151276	S	14	9	23	0.00168
F1D2	Barnesiella viscericola	397865	S	13	43	56	0.00408
F1D2	Croceibacter atlanticus	313588	S	15	7	22	0.00160
F1D2	Aminobacterium colombiense	81468	S	277	5	282	0.02055
F1D2	Syntrophus aciditrophicus	316277	S	45	48	93	0.00678
F1D2	Syntrophotalea acetylenica	29542	S	11	48	59	0.00430
F1D2	Mesotoga infera	1236046	S	74	4	78	0.00568
F1D2	Sphaerochaeta pleomorpha	1131707	S	18	10	28	0.00204
F1D2	Methanosarcina flavescens	1715806	S	480	807	1287	0.09378
F1D2	Methanosarcina mazei	2209	S	240	89	329	0.02397
F1D2	Methanosarcina barkeri	2208	S	157	42	199	0.01450
F1D2	Methanosarcina thermophila	2210	S	47	414	461	0.03359
F1D2	Methanosarcina sp. WWM596	1434103	S	15	54	69	0.00503
F1D2	Methanosarcina horonobensis	418008	S	15	5	20	0.00146
F1D2	Methanosarcina lacustris	170861	S	11	26	37	0.00270
F1D2	Methanothrix soehngenii	2223	S	17	0	17	0.00124
F1D2	Methanoculleus bourgensis	83986	S	281	16	297	0.02164
F1D2	Methanobrevibacter millerae	230361	S	58	50	108	0.00787
F1D1	Petrimonas mucosa	1642646	S	4044	307	4351	0.34614
F1D1	Proteiniphilum saccharofermentans	1642647	S	76	14	90	0.00716
F1D1	Romboutsia ilealis	1115758	S	104	279	383	0.03047
F1D1	Romboutsia sp. CE17	2724150	S	15	39	54	0.00430
F1D1	Acetivibrio saccincola	1677857	S	56	180	236	0.01877
F1D1	Acetivibrio clariflavus	288965	S	24	81	105	0.00835
F1D1	Pseudoclostridium thermosuccinogenes	84032	S	22	21	43	0.00342
F1D1	Ruminococcus sp. JE7A12	2564099	S	17	6	23	0.00183
F1D1	Thermoclostridium stercorarium	1510	S	15	185	200	0.01591
F1D1	Ruminiclostridium herbifermentans	2488810	S	13	12	25	0.00199
F1D1	Clostridium kluyveri	1534	S	11	15	26	0.00207
F1D1	Clostridium bornimense	1216932	S	10	45	55	0.00438
F1D1	Syntrophomonas wolfei	863	S	60	12	72	0.00573
F1D1	Herbinix luporum	1679721	S	24	98	122	0.00971
F1D1	Aminipila sp. JN-18	2507160	S	11	4	15	0.00119
F1D1	Thermacetogenium phaeum	85874	S	11	32	43	0.00342
F1D1	Thermoanaerobacterium thermosaccharolyticum	1517	S	11	8	19	0.00151
F1D1	Jeotgalibaca porci	1868793	S	209	372	581	0.04622
F1D1	Jeotgalibaca arthritidis	1868794	S	31	90	121	0.00963
F1D1	Thermoactinomyces vulgaris	2026	S	14	9	23	0.00183
F1D1	Turicibacter sp. H121	1712675	S	211	585	796	0.06333
F1D1	Tissierellia sp. JN-28	2507161	S	21	23	44	0.00350
F1D1	Gudongella oleilytica	1582259	S	16	14	30	0.00239
F1D1	Corynebacterium stationis	1705	S	44	37	81	0.00644
F1D1	Corynebacterium xerosis	1725	S	19	41	60	0.00477
F1D1	Corynebacterium casei	160386	S	14	23	37	0.00294
F1D1	Bifidobacterium pseudolongum	1694	S	24	16	40	0.00318
F1D1	Jonesia denitrificans	43674	S	10	4	14	0.00111
F1D1	Brevefilum fermentans	1986204	S	111	6	117	0.00931
F1D1	Aminobacterium colombiense	81468	S	264	6	270	0.02148
F1D1	Methanosarcina mazei	2209	S	1874	558	2432	0.19348
F1D1	Methanosarcina flavescens	1715806	S	532	654	1186	0.09435
F1D1	Methanosarcina barkeri	2208	S	150	37	187	0.01488
F1D1	Methanosarcina thermophila	2210	S	53	317	370	0.02944
F1D1	Methanosarcina sp. WWM596	1434103	S	27	64	91	0.00724
F1D1	Methanosarcina horonobensis	418008	S	18	3	21	0.00167
F1D1	Methanosarcina lacustris	170861	S	13	16	29	0.00231
F1D1	Methanosarcina siciliae	38027	S	11	21	32	0.00255
F1D1	Methanoculleus bourgensis	83986	S	23	2	25	0.00199
F1D1	Methanobrevibacter millerae	230361	S	40	19	59	0.00469
F1D1	Methanosphaera sp. BMS	1789762	S	12	9	21	0.00167
F1D1	Homo sapiens	9606	S	11	7	18	0.00143
F3D3	Petrimonas mucosa	1642646	S	1751	225	1976	0.23163
F3D3	Proteiniphilum saccharofermentans	1642647	S	96	30	126	0.01477
F3D3	Bacteroides coprosuis	151276	S	11	27	38	0.00445
F3D3	Draconibacterium orientale	1168034	S	12	8	20	0.00234
F3D3	Sphingobacterium daejeonense	371142	S	41	55	96	0.01125
F3D3	Croceibacter atlanticus	313588	S	17	6	23	0.00270
F3D3	Romboutsia ilealis	1115758	S	49	149	198	0.02321
F3D3	Acetivibrio saccincola	1677857	S	20	100	120	0.01407
F3D3	Pseudoclostridium thermosuccinogenes	84032	S	13	15	28	0.00328
F3D3	Ruminiclostridium herbifermentans	2488810	S	10	11	21	0.00246
F3D3	Herbinix luporum	1679721	S	44	209	253	0.02966
F3D3	Blautia producta	33035	S	10	15	25	0.00293
F3D3	Clostridium bornimense	1216932	S	10	31	41	0.00481
F3D3	Syntrophomonas wolfei	863	S	16	4	20	0.00234
F3D3	Thermacetogenium phaeum	85874	S	11	40	51	0.00598
F3D3	Alkalihalobacillus clausii	79880	S	13	29	42	0.00492
F3D3	Ureibacillus thermosphaericus	51173	S	33	84	117	0.01371
F3D3	Jeotgalibaca porci	1868793	S	93	199	292	0.03423
F3D3	Jeotgalibaca arthritidis	1868794	S	20	94	114	0.01336
F3D3	Turicibacter sp. H121	1712675	S	55	191	246	0.02884
F3D3	Tissierellia sp. JN-28	2507161	S	17	20	37	0.00434
F3D3	Gudongella oleilytica	1582259	S	13	11	24	0.00281
F3D3	Corynebacterium xerosis	1725	S	73	188	261	0.03059
F3D3	Rhodococcus rhodochrous	1829	S	13	30	43	0.00504
F3D3	Thermobifida fusca	2021	S	95	40	135	0.01582
F3D3	Thermobispora bispora	2006	S	11	4	15	0.00176
F3D3	Glutamicibacter arilaitensis	256701	S	14	36	50	0.00586
F3D3	Micromonospora maris	1003110	S	14	15	29	0.00340
F3D3	Bifidobacterium pseudolongum	1694	S	11	4	15	0.00176
F3D3	Brevefilum fermentans	1986204	S	167	5	172	0.02016
F3D3	Syntrophus aciditrophicus	316277	S	64	37	101	0.01184
F3D3	Acinetobacter indicus	756892	S	17	138	155	0.01817
F3D3	Pseudoxanthomonas suwonensis	314722	S	11	18	29	0.00340
F3D3	Aminobacterium colombiense	81468	S	245	8	253	0.02966
F3D3	Mesotoga infera	1236046	S	64	7	71	0.00832
F3D3	Sphaerochaeta pleomorpha	1131707	S	26	23	49	0.00574
F3D3	Methanosarcina mazei	2209	S	884	318	1202	0.14090
F3D3	Methanosarcina flavescens	1715806	S	438	726	1164	0.13644
F3D3	Methanosarcina barkeri	2208	S	165	52	217	0.02544
F3D3	Methanosarcina thermophila	2210	S	44	402	446	0.05228
F3D3	Methanosarcina sp. WWM596	1434103	S	22	71	93	0.01090
F3D3	Methanosarcina horonobensis	418008	S	13	3	16	0.00188
F3D3	Methanosarcina lacustris	170861	S	11	30	41	0.00481
F3D3	Methanobrevibacter millerae	230361	S	13	7	20	0.00234
F3D3	Homo sapiens	9606	S	11	13	24	0.00281
F3M3	Jeotgalibaca porci	1868793	S	3390	1607	4997	0.11735
F3M3	Jeotgalibaca arthritidis	1868794	S	1318	3097	4415	0.10368
F3M3	Jeotgalibaca sp. PTS2502	1903686	S	353	816	1169	0.02745
F3M3	Jeotgalibaca ciconiae	2496265	S	41	13	54	0.00127
F3M3	Jeotgalibaca dankookensis	708126	S	14	1	15	0.00035
F3M3	Carnobacterium maltaromaticum	2751	S	23	7	30	0.00070
F3M3	Carnobacterium inhibens	147709	S	14	6	20	0.00047
F3M3	Aerococcus urinaeequi	51665	S	349	332	681	0.01599
F3M3	Aerococcus viridans	1377	S	39	60	99	0.00232
F3M3	Lactococcus garvieae	1363	S	152	228	380	0.00892
F3M3	Lactococcus raffinolactis	1366	S	50	22	72	0.00169
F3M3	Lactococcus lactis	1358	S	25	93	118	0.00277
F3M3	Streptococcus suis	1307	S	48	26	74	0.00174
F3M3	Streptococcus uberis	1349	S	42	11	53	0.00124
F3M3	Streptococcus equinus	1335	S	19	48	67	0.00157
F3M3	Streptococcus parauberis	1348	S	13	10	23	0.00054
F3M3	Enterococcus faecalis	1351	S	93	76	169	0.00397
F3M3	Enterococcus faecium	1352	S	56	186	242	0.00568
F3M3	Enterococcus cecorum	44008	S	33	18	51	0.00120
F3M3	Enterococcus casseliflavus	37734	S	23	53	76	0.00178
F3M3	Enterococcus hirae	1354	S	11	7	18	0.00042
F3M3	Enterococcus avium	33945	S	11	5	16	0.00038
F3M3	Ligilactobacillus salivarius	1624	S	85	39	124	0.00291
F3M3	Ligilactobacillus ruminis	1623	S	25	4	29	0.00068
F3M3	Weissella paramesenteroides	1249	S	41	17	58	0.00136
F3M3	Weissella confusa	1583	S	20	6	26	0.00061
F3M3	Amylolactobacillus amylophilus	1603	S	39	25	64	0.00150
F3M3	Lactobacillus crispatus	47770	S	12	4	16	0.00038
F3M3	Paucilactobacillus nenjiangensis	1296540	S	15	12	27	0.00063
F3M3	Lentilactobacillus buchneri	1581	S	11	2	13	0.00031
F3M3	Macrococcus sp. IME1552	1898474	S	38	279	317	0.00744
F3M3	Macrococcus bohemicus	1903056	S	26	182	208	0.00488
F3M3	Staphylococcus hominis	1290	S	17	85	102	0.00240
F3M3	Jeotgalicoccus saudimassiliensis	1461582	S	81	9	90	0.00211
F3M3	Mammaliicoccus sciuri	1296	S	10	12	22	0.00052
F3M3	Bacillus sp. BS-02	887059	S	12	265	277	0.00651
F3M3	Bacillus circulans	1397	S	24	141	165	0.00387
F3M3	Caldibacillus thermoamylovorans	35841	S	55	102	157	0.00369
F3M3	Alkalihalobacillus clausii	79880	S	47	12	59	0.00139
F3M3	Weizmannia coagulans	1398	S	25	17	42	0.00099
F3M3	Ureibacillus thermosphaericus	51173	S	224	155	379	0.00890
F3M3	Ureibacillus thermophilus	367743	S	18	5	23	0.00054
F3M3	Thermobacillus composti	377615	S	77	3	80	0.00188
F3M3	Paenibacillus sp. JZ16	1906272	S	15	22	37	0.00087
F3M3	Thermoactinomyces vulgaris	2026	S	25	2	27	0.00063
F3M3	Romboutsia ilealis	1115758	S	154	358	512	0.01202
F3M3	Romboutsia sp. CE17	2724150	S	23	50	73	0.00171
F3M3	Romboutsia hominis	1507512	S	19	34	53	0.00124
F3M3	Clostridioides difficile	1496	S	10	20	30	0.00070
F3M3	Blautia producta	33035	S	24	30	54	0.00127
F3M3	Butyrivibrio fibrisolvens	831	S	13	29	42	0.00099
F3M3	Ruminococcus sp. JE7A12	2564099	S	18	13	31	0.00073
F3M3	Symbiobacterium thermophilum	2734	S	36	3	39	0.00092
F3M3	Turicibacter sp. H121	1712675	S	204	134	338	0.00794
F3M3	Turicibacter sanguinis	154288	S	10	2	12	0.00028
F3M3	Erysipelothrix larvae	1514105	S	27	25	52	0.00122
F3M3	Bifidobacterium pseudolongum	1694	S	2787	509	3296	0.07740
F3M3	Bifidobacterium choerinum	35760	S	64	39	103	0.00242
F3M3	Bifidobacterium adolescentis	1680	S	36	16	52	0.00122
F3M3	Bifidobacterium longum	216816	S	29	46	75	0.00176
